DriversLicense;VehicleInProperty;UseNewMobility;TypeOfNewMobility;UsagePerMonth;RangeOfHours;5Min;10Min;15Min;20Min;+20Min;CostLastTrip;RightSlowerVehicles;
Yes;Yes;Yes;Other (Lime, BiciMAD, etc);Twice per month;19:00-21:00;;;;Column 1;;2,1;No;
Yes;Yes;No;;;;;;;;;;No;
No;No;No;I don't use any new mobility servises;Never;;;;;;;;No;
No;No;No;I don't use any new mobility servises;Never;;;;;;;;;
Yes;No;No;;;;;;;;;;;
Yes;Yes;No;I don't use any new mobility servises;;;;;;;;;No;
Yes;Yes;No;I don't use any new mobility servises;Never;Never;;;;;;Nothing;Yes;
Yes;Yes;No;;;;;;;;;;Yes;
Yes;Yes;Yes;Motosharing;30 times;9:00-10:00/18:00-19:00;;Column 1;;;;3,0;No;
Yes;No;No;I don't use any new mobility servises;N/A;N/A;;;;;;;Yes;
Yes;No;Yes;Carsharing;Una vez a la semana ;18:00-23:00;;;Column 1;;;7,50;Yes;
Yes;Yes;No;I don't use any new mobility servises;;;;;;;;;Yes;
Yes;No;No;I don't use any new mobility servises;;;;;;;;;No;
Yes;Yes;Yes;Motosharing;5;18:00-23:00;;;;Column 1;;3,0;Yes;
Yes;Yes;Yes;Carsharing;Two times ;;;Column 1;;;;3;Yes;
Yes;No;No;I don't use any new mobility servises;;;;;;;;;Yes;
No;No;No;I don't use any new mobility servises;0;;;;;;;;Yes;
Yes;No;Yes;Other (Lime, BiciMAD, etc);15;19:30 -24:00;;;;;Column 1;0,5;No;
Yes;Yes;Yes;Carsharing;1;Long trips;;;;;Column 1;25,0;Yes;
Yes;Yes;Yes;Carsharing;It depends, but twice a month maybe ;13:00-17:00;;Column 1;;;;2,1;No;
Yes;Yes;Yes;Motosharing;20/month;18:00-23:00;;;Column 1;;;7,0;Yes;
Yes;No;Yes;Motosharing;Once;18:00-22:00;;Column 1;;;;3,15;Yes;
Yes;Yes;No;I don't use any new mobility servises;-;;;;;;;-;Yes;
Yes;Yes;Yes;Carsharing;5;14:00-15:00/20:00-22:00;;;;Column 1;;7;Yes;
Yes;Yes;Yes;Carsharing;5;7:00-8:00/18:00-19:00;;;;;Column 1;5;No;
Yes;No;Yes;Other (Lime, BiciMAD, etc);1 vez al mes;18:00-20:00;;;Column 1;;;1,2;Yes;
Yes;Yes;Yes;Carsharing;1;9:00-20:00;;Column 1;;;;5,04;Yes;
Yes;No;No;I don't use any new mobility servises;;;;;;;;;;
Yes;Yes;No;I don't use any new mobility servises;;;;;;;;;;
Yes;Yes;No;I don't use any new mobility servises;;;;;;;;;Yes;
Yes;No;No;I don't use any new mobility servises;;;;;;;;;Yes;
Yes;Yes;Yes;Carsharing;twice ;00:00-2:00;;;;;Column 1;5,0;Yes;
Yes;Yes;No;;;;;;;;;;;
Yes;No;Yes;Carsharing;3;19:00-0:00;;;Column 1;;;10;Yes;
Yes;No;Yes;Carsharing;1;20:00 -24:00;;Column 1;;;;1,9;No;
Yes;No;No;I don't use any new mobility servises;;;;;;;;;;
No;No;Yes;Other (Lime, BiciMAD, etc);2;18:00-20:00;;;;Column 1;;11;Yes;
Yes;Yes;No;I don't use any new mobility servises;0;;;;;;;;No;
Yes;Yes;Yes;Carsharing;Once a week;9:00-10:00;;;;Column 1;;4;Yes;
Yes;No;Yes;Other (Lime, BiciMAD, etc);25 days;00:00-23:00;;;;;Column 1;30;No;
Yes;No;No;I don't use any new mobility servises;;;;;;;;;;
Yes;Yes;No;I don't use any new mobility servises;Never;Never;;;;;;;No;
Yes;No;Yes;Other (Lime, BiciMAD, etc);10;13:00-14:00;;;;Column 1;;15;Yes;
Yes;Yes;No;I don't use any new mobility servises;;;;;;;;;No;
Yes;Yes;No;I don't use any new mobility servises;;;;;;;;;Yes;
Yes;No;Yes;Carsharing;8 veces por semana;15:00-16:00;;;;;Column 1;18,0;Yes;
Yes;Yes;Yes;Motosharing;Todos los días ;13:00-14:00;;;Column 1;;;3,75;No;
Yes;No;No;I don't use any new mobility servises;;;;;;;;;;
Yes;No;Yes;Other (Lime, BiciMAD, etc);6;08:00-18:00;;;;;Column 1;0,40;Yes;
Yes;No;Yes;Carsharing;5;14:00 -24:00;;;Column 1;;;5;No;
Yes;Yes;Yes;Carsharing;Once a month;17:00-21:00;;;;;Column 1;8,75;No;
Yes;No;Yes;Carsharing;Two time per week;21:00-3:00;;;Column 1;;;3;Yes;
Yes;No;Yes;Carsharing;weekly;;;;Column 1;;;8;Yes;
Yes;Yes;Yes;Carsharing;2;18:00-20:00;;;;Column 1;;6,41;No;
Yes;No;Yes;Carsharing;1;8:00-9:00;;;;Column 1;;10;Yes;
Yes;Yes;No;I don't use any new mobility servises;None;;;;;;;;No;
Yes;Yes;Yes;Carsharing;1;18:00-23:00;;;Column 1;;;5,55;No;
No;No;No;I don't use any new mobility servises;;;;;;;;;Yes;
Yes;Yes;No;I don't use any new mobility servises;;;;;;;;;No;
Yes;No;Yes;Carsharing;5 veces;19:00 -24:00;;;Column 1;;;2;No;
Yes;No;No;I don't use any new mobility servises;;;;;;;;;No;
Yes;Yes;No;I don't use any new mobility servises;;;;;;;;;No;
Yes;Yes;No;I don't use any new mobility servises;NA;NA;;;;;;NA;Yes;
Yes;Yes;No;I don't use any new mobility servises;Never;No one range;;;;;;;No;
Yes;Yes;No;I don't use any new mobility servises;;;;;;;;;No;
Yes;Yes;Yes;Carsharing;Two days max;18:00-22:00;;;Column 1;;;12;Yes;
Yes;Yes;Yes;Other (Lime, BiciMAD, etc);Once every two months ;18:00- 22:00;;;;Column 1;;12,6;Yes;
Yes;No;Yes;Carsharing;Weekly;8:00-11:00;;;Column 1;;;3,5;Yes;
No;No;No;I don't use any new mobility servises;;;;;;;;;Yes;
Yes;Yes;No;I don't use any new mobility servises;0;;;;;;;;Yes;
Yes;Yes;No;I don't use any new mobility servises;;;;;;;;;No;
Yes;Yes;No;I don't use any new mobility servises;;;;;;;;;No;
Yes;Yes;Yes;I don't use any new mobility servises;;;;;;;;;Yes;
Yes;Yes;No;I don't use any new mobility servises;;;;;;;;;Yes;
Yes;Yes;Yes;Carsharing;4;20:00 -24:00;;Column 1;;;;2,15;Yes;
Yes;Yes;No;I don't use any new mobility servises;;;;;;;;;No;
Yes;No;No;I don't use any new mobility servises;;;;;;;;;Yes;
Yes;Yes;No;I don't use any new mobility servises;;;;;;;;;No;
Yes;Yes;Yes;Carsharing;Less than once a month ;9:00-20:00;;;;Column 1;;4,2;No;
Yes;Yes;No;I don't use any new mobility servises;;;;;;;;;Yes;
Yes;Yes;No;I don't use any new mobility servises;;;;;;;;;No;
Yes;Yes;No;I don't use any new mobility servises;Nunca;Nunca;;;;;;;No;
Yes;Yes;No;I don't use any new mobility servises;;;;;;;;;No;
Yes;Yes;Yes;Motosharing;Once a week;8:00-11:00;;;;;Column 1;7;No;
Yes;Yes;No;I don't use any new mobility servises;Never;;;;;;;;Yes;
Yes;Yes;No;I don't use any new mobility servises;Never;Never;;;;;;;Yes;
Yes;Yes;No;I don't use any new mobility servises;;;;;;;;;No;
Yes;Yes;Yes;Other (Lime, BiciMAD, etc);Every week ;8:00-21:00;;;;;Column 1;5,4;Yes;
Yes;Yes;No;I don't use any new mobility servises;;;;;;;;;Yes;
Yes;Yes;No;I don't use any new mobility servises;Never;Never;;;;;;;No;
Yes;No;No;I don't use any new mobility servises;;;;;;;;;Yes;
Yes;Yes;Yes;Motosharing;Once a week;8:00-11:00;;;;;Column 1;7;No;
Yes;No;Yes;Carsharing;10;20:00-24:00;;;Column 1;;;10;No;
Yes;Yes;Yes;Carsharing;2-3 times;18:00-24:00;;;;Column 1;;5;Yes;
Yes;Yes;No;I don't use any new mobility servises;;;;;;;;;No;
Yes;Yes;No;I don't use any new mobility servises;;;;;;;;;No;
Yes;Yes;Yes;Carsharing;1 vez al mes;11:00-14:00;;;;;Column 1;6,5;No;
Yes;No;Yes;Carsharing;1;14:00-18:00;;;;;Column 1;18;No;
Yes;Yes;Yes;Other (Lime, BiciMAD, etc);4;10:00-18:00;;;;Column 1;;3;No;
Yes;Yes;Yes;I don't use any new mobility servises;0;;;;;;;;No;
Yes;Yes;No;I don't use any new mobility servises;;;;;;;;;No;
Yes;No;Yes;Other (Lime, BiciMAD, etc);20 times a week;8:00-11:00;;;;Column 1;;1,2;Yes;
Yes;Yes;Yes;Carsharing;;;;;;;Column 1;5,6;No;
Yes;Yes;Yes;Carsharing;Monthly basis;20:00-02:00;;;Column 1;;;3,5;No;
Yes;Yes;No;I don't use any new mobility servises;;;;;;;;;No;
Yes;Yes;No;I don't use any new mobility servises;;;;;;;;;No;
Yes;Yes;No;I don't use any new mobility servises;;;;;;;;;Yes;
Yes;Yes;Yes;Other (Lime, BiciMAD, etc);3;00:00-23:00;;;;;Column 1;12;No;
Yes;No;Yes;Carsharing;Three;22:00 -24:00;;;Column 1;;;3,5;Yes;
Yes;Yes;Yes;Carsharing;3-4;00:00-23:00;;;;Column 1;;12;No;
