DriversLicense;VehicleInProperty;UseNewMobility;TypeOfNewMobility;UsagePerMonth;RangeOfHours;5Min;10Min;15Min;20Min;+20Min;CostLastTrip;RightSlowerVehicles;
Yes;Yes;Yes;Other (Lime, BiciMAD, etc);2;19:00-21:00;;;;Column 1;;2,1;No;
Yes;Yes;No;I don't use any new mobility services;;;;;;;;;No;
No;No;No;I don't use any new mobility services;Never;;;;;;;;No;
No;No;No;I don't use any new mobility services;Never;;;;;;;;;
Yes;No;No;I don't use any new mobility services;;;;;;;;;;
Yes;Yes;No;I don't use any new mobility services;;;;;;;;;No;
Yes;Yes;No;I don't use any new mobility services;Never;Never;;;;;;Nothing;Yes;
Yes;Yes;No;I don't use any new mobility services;;;;;;;;;Yes;
Yes;Yes;Yes;Motosharing;30;9:00-10:00/18:00-19:00;;Column 1;;;;3,0;No;
Yes;No;No;I don't use any new mobility services;N/A;N/A;;;;;;;Yes;
Yes;No;Yes;Carsharing;4;18:00-23:00;;;Column 1;;;7,50;Yes;
Yes;Yes;No;I don't use any new mobility services;;;;;;;;;Yes;
Yes;No;No;I don't use any new mobility services;;;;;;;;;No;
Yes;Yes;Yes;Motosharing;5;18:00-23:00;;;;Column 1;;3,0;Yes;
Yes;Yes;Yes;Carsharing;2;;;Column 1;;;;3;Yes;
Yes;No;No;I don't use any new mobility services;;;;;;;;;Yes;
No;No;No;I don't use any new mobility services;0;;;;;;;;Yes;
Yes;No;Yes;Other (Lime, BiciMAD, etc);15;19:30 -24:00;;;;;Column 1;0,5;No;
Yes;Yes;Yes;Carsharing;1;Long trips;;;;;Column 1;25,0;Yes;
Yes;Yes;Yes;Carsharing;2;13:00-17:00;;Column 1;;;;2,1;No;
Yes;Yes;Yes;Motosharing;20;18:00-23:00;;;Column 1;;;7,0;Yes;
Yes;No;Yes;Motosharing;1;18:00-22:00;;Column 1;;;;3,15;Yes;
Yes;Yes;No;I don't use any new mobility services;-;;;;;;;-;Yes;
Yes;Yes;Yes;Carsharing;5;14:00-15:00/20:00-22:00;;;;Column 1;;7;Yes;
Yes;Yes;Yes;Carsharing;5;7:00-8:00/18:00-19:00;;;;;Column 1;5;No;
Yes;No;Yes;Other (Lime, BiciMAD, etc);1;18:00-20:00;;;Column 1;;;1,2;Yes;
Yes;Yes;Yes;Carsharing;1;9:00-20:00;;Column 1;;;;5,04;Yes;
Yes;No;No;I don't use any new mobility services;;;;;;;;;;
Yes;Yes;No;I don't use any new mobility services;;;;;;;;;;
